narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier
379,23,130,0,0.0,1.0,1,1.0,1269.0,15.5,1927.0,male,Nisei,2008.0,A
38,22,148,0,0.0,1.0,1,1.0,1175.0,16.667,1926.0,male,Nisei,1998.0,A
380,25,145,0,0.0,1.0,1,1.0,1269.0,11.5,1931.0,male,Nisei,2009.0,A
381,49,323,0,0.0,1.0,1,0.0,1269.0,23.5,1919.0,male,Nisei,2009.0,A
382,25,138,0,0.0,1.0,1,1.0,1269.0,16.5,1926.0,male,Nisei,2009.0,A
384,18,116,0,0.0,1.0,1,0.0,2240.0,23.25,1919.0,female,Nisei,2009.0,A
385,25,151,0,0.0,1.0,1,1.0,1269.0,15.5,1927.0,male,Nisei,2009.0,A
387,41,305,0,0.0,1.0,1,1.0,2656.0,16.417,1926.0,male,Nisei,2009.0,A
388,21,122,0,0.0,1.0,1,1.0,1312.0,17.333,1925.0,male,Nisei,2009.0,A
391,11,69,0,0.0,1.0,1,0.0,443.0,0.083,1945.0,male,Sansei,2009.0,C
392,25,187,0,0.0,1.0,1,0.0,3201.0,5.417,1937.0,male,Nisei,2009.0,A
393,25,186,0,0.0,1.0,1,1.0,1819.0,11.667,1931.0,female,Sansei,2009.0,A
395,24,176,0,0.0,1.0,1,0.0,1443.0,21.333,1921.0,male,Nisei,2009.0,A
396,22,157,0,0.0,1.0,1,1.0,1215.0,18.583,1924.0,female,Nisei,2009.0,A
400,25,172,0,0.0,1.0,1,0.0,1215.0,24.583,1918.0,male,Nisei,2009.0,A
401,18,104,0,0.0,1.0,1,0.0,1314.0,21.333,1921.0,male,Nisei,2009.0,A
402,24,171,0,0.0,1.0,1,0.0,1470.0,21.417,1921.0,male,Nisei,2009.0,A
403,15,128,0,0.0,1.0,1,0.0,1393.0,19.417,1923.0,female,Nisei,2009.0,A
405,22,144,0,0.0,1.0,1,1.0,1275.0,17.5,1925.0,female,Nisei,2009.0,A
