narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier,how_multimodal_score_mean,how_multimodal_score_max,composure_score_mean,composure_score_max,r_how,p_hat_r_how,ipo_weight,ipo_weight_stabilized
234,15,128,0,0.0,1.0,1,1.0,1269.0,18.5,1924.0,male,Nisei,2002.0,A,0.4787,0.62,0.2547,0.62,0,0.8092118216327499,,
235,26,1433,0,0.0,1.0,1,1.0,1269.0,18.5,1924.0,male,Nisei,2010.0,A,0.2958,0.3508,0.292,0.3,1,0.7279239351116839,1.3737699116138722,0.9776077482035036
236,43,298,0,0.0,1.0,1,1.0,1902.0,17.5,1925.0,female,Nisei,2002.0,A,0.4585,0.7397,0.2349,0.45,1,0.7470142294048433,1.3386625858475467,0.9526245298365031
237,17,172,0,0.0,1.0,1,1.0,1269.0,17.5,1925.0,male,Nisei,2002.0,A,0.381,1.0,0.3059,1.0,1,0.8030168311580864,1.2453039104520767,0.8861882484351965
239,18,155,0,0.0,1.0,1,0.0,1269.0,21.5,1921.0,male,Nisei,2002.0,A,0.4343,0.7,0.3356,0.7,1,0.8271482484043002,1.2089731217217206,0.860334384363144
244,16,93,0,0.0,1.0,1,0.0,1269.0,26.5,1916.0,male,Nisei,2006.0,C,0.525,0.7028,0.4125,0.7,0,0.8224968455636976,,
245,17,116,0,0.0,1.0,1,0.0,2444.0,23.5,1919.0,female,Nisei,2006.0,A,0.3603,0.65,0.3547,0.65,0,0.7846629202624288,,
246,29,793,0,0.0,1.0,1,0.0,1269.0,23.5,1919.0,female,Nisei,2008.0,A,0.452,0.6055,0.3293,0.45,1,0.6774003434630977,1.4762319057703228,1.050522170434555
247,16,109,0,0.0,1.0,1,0.0,1269.0,19.5,1923.0,male,Nisei,2006.0,A,0.4124,0.4775,0.3094,0.45,0,0.7783159822299252,,
248,12,98,0,0.0,1.0,1,1.0,2444.0,16.5,1926.0,male,Nisei,2006.0,A,0.3147,0.45,0.2833,0.45,0,0.8279589687308143,,
249,19,161,0,0.0,1.0,1,1.0,1269.0,15.5,1927.0,female,Nisei,2006.0,A,0.348,0.45,0.3342,0.45,1,0.6313925419910008,1.5838007792215147,1.1270707709406382
250,15,104,0,0.0,1.0,1,0.0,2444.0,19.5,1923.0,male,Nisei,2006.0,A,0.7154,0.8138,0.5787,0.8,0,0.8444716742895592,,
251,11,78,0,0.0,1.0,1,0.0,2444.0,19.5,1923.0,female,Nisei,2006.0,C,0.6636,0.8542,0.2973,0.35,0,0.7566668358789013,,
254,16,114,0,0.0,1.0,1,1.0,2444.0,13.5,1929.0,female,Nisei,2006.0,A,0.45,0.45,0.45,0.45,0,0.7099044813206201,,
256,19,136,0,0.0,1.0,1,0.0,1269.0,21.5,1921.0,male,Nisei,2006.0,A,0.5692,0.8,0.5632,0.8,0,0.7916926511571879,,
257,10,530,0,0.0,1.0,1,1.0,1269.0,13.5,1929.0,female,Nisei,2006.0,A,0.8478,0.9119,0.205,0.35,1,0.6127570912255593,1.631968057684859,1.1613477661183258
258,8,417,0,0.0,1.0,1,0.0,1269.0,19.5,1923.0,male,Nisei,2006.0,A,0.4203,0.55,0.3688,0.55,1,0.7783159822299252,1.284825216019509,0.9143125611131844
259,13,114,0,0.0,1.0,1,0.0,2444.0,8.5,1934.0,female,Nisei,2007.0,A,0.4087,0.72,0.3785,0.72,0,0.6549475951902419,,
26,25,181,0,0.0,1.0,1,0.0,1359.0,31.25,1911.0,female,Issei,1997.0,A,0.5043,0.75,0.5,0.75,1,0.8758254809004332,1.1417799799246573,0.8125181267121256
260,9,475,0,0.0,1.0,1,0.0,1269.0,21.5,1921.0,male,Nisei,2007.0,A,0.3808,0.55,0.3778,0.55,1,0.7820342961074035,1.2787162979648419,0.9099653079284301
264,25,211,0,0.0,1.0,1,1.0,1312.0,18.333,1924.0,female,Nisei,2007.0,A,0.3875,0.4548,0.256,0.45,1,0.6484163043965191,1.5422190855159013,1.0974802364512948
265,7,381,0,0.0,1.0,1,0.0,2444.0,20.5,1922.0,female,Nisei,2007.0,A,0.3643,0.45,0.3643,0.45,1,0.7533451075762356,1.3274128814844715,0.9446189693293428
266,12,621,0,0.0,1.0,1,0.0,1269.0,22.5,1920.0,male,Nisei,2007.0,A,0.5991,0.8,0.5708,0.8,1,0.7887155483972544,1.2678842226859808,0.9022569423337157
267,10,531,0,0.0,1.0,1,0.0,2444.0,8.5,1934.0,female,Nisei,2007.0,A,0.4698,0.7,0.43,0.7,1,0.6549475951902419,1.5268397156409608,1.0865359065273945
268,8,422,0,0.0,1.0,1,1.0,2444.0,18.5,1924.0,male,Nisei,2007.0,A,0.4133,0.55,0.4125,0.55,1,0.8310253926611665,1.2033326644781954,0.8563204991716982
